#Table Version   6
#[Z/Z_SOLAR]=-1.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  4.0971696e+06  1.4358666e+07  5.0320419e+07  1.7634957e+08  6.1802288e+08  2.1658816e+09  7.5904034e+09  2.6600819e+10  9.3223447e+10  3.2670465e+11  1.1449472e+12
  1.6000000e+03  2.6038047e+06  8.9627924e+06  3.0851641e+07  1.0619723e+08  3.6555112e+08  1.2582967e+09  4.3312971e+09  1.4909151e+10  5.1320140e+10  1.7665371e+11  6.0807576e+11
  1.7000000e+03  1.7008745e+06  5.7568472e+06  1.9484854e+07  6.5949209e+07  2.2321431e+08  7.5550001e+08  2.5570953e+09  8.6548462e+09  2.9293536e+10  9.9148064e+10  3.3558047e+11
  1.8000000e+03  1.1384392e+06  3.7924376e+06  1.2633598e+07  4.2085809e+07  1.4019880e+08  4.6703875e+08  1.5558278e+09  5.1828681e+09  1.7265485e+10  5.7515830e+10  1.9160022e+11
  1.9000000e+03  7.7871245e+05  2.5553787e+06  8.3855864e+06  2.7517666e+07  9.0300418e+07  2.9632475e+08  9.7240253e+08  3.1909812e+09  1.0471343e+10  3.4362168e+10  1.1276095e+11
  2.0000000e+03  5.4313314e+05  1.7570700e+06  5.6842321e+06  1.8388849e+07  5.9489086e+07  1.9245095e+08  6.2259094e+08  2.0141209e+09  6.5158082e+09  2.1079050e+10  6.8192057e+10
  2.1000000e+03  3.8554166e+05  1.2304416e+06  3.9269075e+06  1.2532576e+07  3.9997240e+07  1.2764967e+08  4.0738907e+08  1.3001667e+09  4.1494327e+09  1.3242757e+10  4.2263755e+10
  2.2000000e+03  2.7807468e+05  8.7605676e+05  2.7599616e+06  8.6950853e+06  2.7393319e+07  8.6300925e+07  2.7188563e+08  8.5655854e+08  2.6985337e+09  8.5015605e+09  2.6783631e+10
  2.3000000e+03  2.0349831e+05  6.3323155e+05  1.9704448e+06  6.1314899e+06  1.9079534e+07  5.9370334e+07  1.8474438e+08  5.7487440e+08  1.7888532e+09  5.5664260e+09  1.7321208e+10
  2.4000000e+03  1.5091492e+05  4.6408059e+05  1.4271007e+06  4.3884973e+06  1.3495129e+07  4.1499060e+07  1.2761434e+08  3.9242864e+08  1.2067628e+09  3.7109331e+09  1.1411542e+10
  2.5000000e+03  1.1329329e+05  3.4445680e+05  1.0472861e+06  3.1841675e+06  9.6811395e+06  2.9434526e+07  8.9492701e+07  2.7209351e+08  8.2727282e+08  2.5152394e+09  7.6473312e+09
  2.8000000e+03  5.1108563e+04  1.5056913e+05  4.4358640e+05  1.3068342e+06  3.8500181e+06  1.1342402e+07  3.3415450e+07  9.8444076e+07  2.9002261e+08  8.5442537e+08  2.5171924e+09
  3.0000000e+03  3.1479664e+04  9.0978573e+04  2.6293485e+05  7.5990131e+05  2.1961714e+06  6.3470989e+06  1.8343588e+07  5.3014337e+07  1.5321538e+08  4.4280387e+08  1.2797362e+09
  3.2000000e+03  2.1915606e+04  6.0683085e+04  1.6802806e+05  4.6526027e+05  1.2882796e+06  3.5671740e+06  9.8773047e+06  2.7349703e+07  7.5729793e+07  2.0969155e+08  5.8062414e+08
  3.5000000e+03  1.4994185e+04  3.7330575e+04  9.4023935e+04  2.3957642e+05  6.1756351e+05  1.6104643e+06  4.2486649e+06  1.1339287e+07  3.0616177e+07  8.3627299e+07  2.3108784e+08
  3.7500000e+03  1.2681131e+04  2.6926800e+04  5.9862180e+04  1.3933535e+05  3.3955578e+05  8.6636705e+05  2.3143751e+06  6.4730142e+06  1.8954852e+07  5.8113258e+07  1.8653961e+08
  4.0000000e+03  1.0526992e+04  2.0631724e+04  4.2646050e+04  9.2968141e+04  2.1374774e+05  5.1829972e+05  1.3254778e+06  3.5749995e+06  1.0169312e+07  3.0508384e+07  9.6529239e+07
  4.2500000e+03  8.1836263e+03  1.6382245e+04  3.3852119e+04  7.2207628e+04  1.5898827e+05  3.6135320e+05  8.4778067e+05  2.0531463e+06  5.1326435e+06  1.3244851e+07  3.5280754e+07
  4.5000000e+03  6.4032069e+03  1.3098219e+04  2.7285518e+04  5.7883842e+04  1.2505116e+05  2.7512071e+05  6.1640204e+05  1.4064039e+06  3.2678437e+06  7.7324601e+06  1.8632851e+07
  4.7500000e+03  5.0152474e+03  1.0405691e+04  2.1849584e+04  4.6431120e+04  9.9854782e+04  2.1733131e+05  4.7870663e+05  1.0671127e+06  2.4073813e+06  5.4963350e+06  1.2699751e+07
  5.0000000e+03  3.8137459e+03  8.0618976e+03  1.7170489e+04  3.6845792e+04  7.9662326e+04  1.7353134e+05  3.8085768e+05  8.4218473e+05  1.8763414e+06  4.2118822e+06  9.5257774e+06
  5.2500000e+03  2.7617196e+03  5.9998299e+03  1.3074057e+04  2.8575503e+04  6.2645443e+04  1.3775176e+05  3.0382040e+05  6.7212302e+05  1.4913951e+06  3.3193168e+06  7.4099760e+06
  5.5000000e+03  1.9154207e+03  4.2869235e+03  9.5902097e+03  2.1444272e+04  4.7928664e+04  1.0707305e+05  2.3909244e+05  5.3364486e+05  1.1905281e+06  2.6547754e+06  5.9172067e+06
  5.7500000e+03  1.3509827e+03  3.0624704e+03  6.9425266e+03  1.5739348e+04  3.5684488e+04  8.0908795e+04  1.8345753e+05  4.1600533e+05  9.4337809e+05  2.1394208e+06  4.8521050e+06
  6.0000000e+03  8.9254823e+02  2.1001281e+03  4.9161398e+03  1.1448986e+04  2.6526147e+04  6.1142849e+04  1.4021082e+05  3.1987605e+05  7.2601614e+05  1.6393632e+06  3.6827178e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03  2.5662998E+03
  1.6000000E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03
  1.7000000E+03  2.7663008E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03
  1.8000000E+03  2.8663052E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03
  1.9000000E+03  2.9663301E+03  2.9663008E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9663000E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03
  2.0000000E+03  3.0664690E+03  3.0663049E+03  3.0663000E+03  3.0662998E+03  3.0662998E+03  3.0662998E+03  3.0663000E+03  3.0663003E+03  3.0662998E+03  3.0662998E+03  3.0662998E+03
  2.1000000E+03  3.1672297E+03  3.1663293E+03  3.1663008E+03  3.1662998E+03  3.1662998E+03  3.1662998E+03  3.1663000E+03  3.1663008E+03  3.1663022E+03  3.1662998E+03  3.1662998E+03
