#Table Version   6
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  4.6373291e+04  1.1670848e+05  2.9372228e+05  7.3921604e+05  1.8603980e+06  4.6820965e+06  1.1783515e+07  2.9655779e+07  7.4635220e+07  1.8783577e+08  4.7272959e+08
  1.6000000e+03  3.8556874e+04  9.6172491e+04  2.3988325e+05  5.9834128e+05  1.4924439e+06  3.7226060e+06  9.2853039e+06  2.3160353e+07  5.7768916e+07  1.4409313e+08  3.5941179e+08
  1.7000000e+03  3.2418830e+04  8.0185636e+04  1.9833338e+05  4.9056332e+05  1.2133730e+06  3.0011905e+06  7.4232280e+06  1.8360819e+07  4.5414160e+07  1.1232865e+08  2.7783681e+08
  1.8000000e+03  2.7529504e+04  6.7554844e+04  1.6577331e+05  4.0679230e+05  9.9823052e+05  2.4495649e+06  6.0110048e+06  1.4750447e+07  3.6196227e+07  8.8822178e+07  2.1796137e+08
  1.9000000e+03  2.3585177e+04  5.7443676e+04  1.3990889e+05  3.4075983e+05  8.2994914e+05  2.0214107e+06  4.9233153e+06  1.1991147e+07  2.9205445e+07  7.1132310e+07  1.7324871e+08
  2.0000000e+03  2.0366927e+04  4.9253893e+04  1.1911203e+05  2.8805185e+05  6.9660363e+05  1.6846155e+06  4.0739514e+06  9.8521475e+06  2.3825716e+07  5.7618377e+07  1.3934009e+08
  2.1000000e+03  1.7714183e+04  4.2549929e+04  1.0220604e+05  2.4550158e+05  5.8970121e+05  1.4164777e+06  3.4024164e+06  8.1726931e+06  1.9631022e+07  4.7154228e+07  1.1326569e+08
  2.2000000e+03  1.5507314e+04  3.7009536e+04  8.8326436e+04  2.1079862e+05  5.0308901e+05  1.2006651e+06  2.8654904e+06  6.8387389e+06  1.6321238e+07  3.8952035e+07  9.2962376e+07
  2.3000000e+03  1.3655925e+04  3.2390826e+04  7.6828605e+04  1.8223167e+05  4.3223983e+05  1.0252404e+06  2.4317931e+06  5.7680303e+06  1.3681334e+07  3.2451096e+07  7.6971560e+07
  2.4000000e+03  1.2090826e+04  2.8509831e+04  6.7225390e+04  1.5851560e+05  3.7377539e+05  8.8135199e+05  2.0782035e+06  4.9003462e+06  1.1554880e+07  2.7246087e+07  6.4245516e+07
  2.5000000e+03  1.0758437e+04  2.5224946e+04  5.9144085e+04  1.3867315e+05  3.2514228e+05  7.6235018e+05  1.7874569e+06  4.1909901e+06  9.8264738e+06  2.3039803e+07  5.4020653e+07
  2.8000000e+03  7.7799838e+03  1.7957133e+04  4.1447209e+04  9.5665111e+04  2.2080651e+05  5.0964782e+05  1.1763281e+06  2.7151059e+06  6.2667888e+06  1.4464498e+07  3.3385790e+07
  3.0000000e+03  6.3867460e+03  1.4601058e+04  3.3380207e+04  7.6312156e+04  1.7446102e+05  3.9884404e+05  9.1181725e+05  2.0845509e+06  4.7655956e+06  1.0894866e+07  2.4907296e+07
  3.2000000e+03  5.3062511e+03  1.1995388e+04  2.7116947e+04  6.1300960e+04  1.3857783e+05  3.1327105e+05  7.0818505e+05  1.6009333e+06  3.6190930e+06  8.1813737e+06  1.8494931e+07
  3.5000000e+03  4.8583407e+03  9.3861162e+03  1.8971223e+04  4.0115868e+04  8.8745939e+04  2.0539612e+05  4.9733317e+05  1.2598361e+06  3.3388134e+06  9.2572433e+06  2.6852372e+07
  3.7500000e+03  3.9151563e+03  7.7007903e+03  1.5629355e+04  3.2731535e+04  7.0731238e+04  1.5771599e+05  3.6287725e+05  8.6151597e+05  2.1105055e+06  5.3349360e+06  1.3915266e+07
  4.0000000e+03  3.1487533e+03  6.3384398e+03  1.3006514e+04  2.7206597e+04  5.8012599e+04  1.2609713e+05  2.7939775e+05  6.3106686e+05  1.4529900e+06  3.4102379e+06  8.1590861e+06
  4.2500000e+03  2.5672816e+03  5.2359941e+03  1.0814743e+04  2.2621670e+04  4.7920853e+04  1.0280538e+05  2.2335647e+05  4.9144244e+05  1.0950607e+06  2.4711275e+06  5.6473344e+06
