#Table Version   6
#[Z/Z_SOLAR]=-1.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  1.3861062e+00  4.6424226e+00  1.5548655e+01  5.2076406e+01  1.7441714e+02  5.8416742e+02  1.9565254e+03  6.5529018e+03  2.1947337e+04  7.3507219e+04  2.4619439e+05  8.2456771e+05  2.7616872e+06  9.2495937e+06  3.0979245e+07  1.0375738e+08  3.4750988e+08  1.1638991e+09  3.8981943e+09  1.3056045e+10  4.3728020e+10  1.4645627e+11  4.9051935e+11  1.6428742e+12  5.5024041e+12
  2.1000000e+03  3.2136461e+00  9.2374813e+00  2.7066440e+01  8.0584602e+01  2.4324554e+02  7.4312662e+02  2.2945274e+03  7.1517423e+03  2.2478044e+04  7.1174421e+04  2.2685157e+05  7.2724956e+05  2.3434434e+06  7.5856252e+06  2.4652407e+07  8.0398793e+07  2.6301291e+08  8.6273742e+08  2.8366806e+09  9.3464386e+09  3.0851416e+10  1.0200005e+11  3.3770490e+11  1.1194691e+12  3.7150112e+12
  2.2000000e+03  6.1666460e+00  1.5994421e+01  4.2729557e+01  1.1687328e+02  3.2602376e+02  9.2510388e+02  2.6650978e+03  7.7835808e+03  2.3018040e+04  6.8854787e+04  2.0815236e+05  6.3540278e+05  1.9570492e+06  6.0774721e+06  1.9015731e+07  5.9908341e+07  1.8992245e+08  6.0551660e+08  1.9404326e+09  6.2470142e+09  2.0194976e+10  6.5527487e+10  2.1332514e+11  6.9653676e+11  2.2802891e+12
  2.3000000e+03  1.2274683e+01  2.8409305e+01  6.8631089e+01  1.7149385e+02  4.4050453e+02  1.1581900e+03  3.1076427e+03  8.4906204e+03  2.3580850e+04  6.6480210e+04  1.9003830e+05  5.5027674e+05  1.6126483e+06  4.7794762e+06  1.4315007e+07  4.3299043e+07  1.3217706e+08  4.0695641e+08  1.2629403e+09  3.9481729e+09  1.2425983e+10  3.9349446e+10  1.2530917e+11  4.0108786e+11  1.2897315e+12
  2.4000000e+03  2.5249192e+01  5.2277978e+01  1.1390757e+02  2.5875482e+02  6.0846994e+02  1.4735352e+03  3.6612543e+03  9.3077316e+03  2.4158548e+04  6.3908154e+04  1.7205465e+05  4.7082165e+05  1.3081315e+06  3.6866637e+06  1.0530071e+07  3.0458565e+07  8.9157834e+07  2.6393149e+08  7.8963341e+08  2.3861062e+09  7.2780478e+09  2.2394170e+10  6.9468589e+10  2.1713089e+11  6.8342796e+11
  2.5000000e+03  4.9128580e+01  9.3129874e+01  1.8587735e+02  3.8762455e+02  8.3913069e+02  1.8763000e+03  4.3173966e+03  1.0195727e+04  2.4661402e+04  6.1000107e+04  1.5408893e+05  3.9702077e+05  1.0422326e+06  2.7846022e+06  7.5644178e+06  2.0873735e+07  5.8461321e+07  1.6605201e+08  4.7798966e+08  1.3935025e+09  4.1119545e+09  1.2274258e+10  3.7044522e+10  1.1298919e+11  3.4815800e+11
  2.8000000e+03  8.3085710e+01  1.4852365e+02  2.7847968e+02  5.4439028e+02  1.1035206e+03  2.3092531e+03  4.9719794e+03  1.0988219e+04  2.4886937e+04  5.7702499e+04  1.3685504e+05  3.3181025e+05  8.2187672e+05  2.0783319e+06  5.3615427e+06  1.4098923e+07  3.7761815e+07  1.0293256e+08  2.8534960e+08  8.0401109e+08  2.3014403e+09  6.6904307e+09  1.9750546e+10  5.9217174e+10  1.8042450e+11
  3.0000000e+03  1.1618508e+02  2.0143191e+02  3.6450220e+02  6.8488856e+02  1.3298865e+03  2.6580013e+03  5.4516512e+03  1.1450656e+04  2.4599120e+04  5.4018050e+04  1.2123668e+05  2.7814476e+05  6.5247147e+05  1.5653278e+06  3.8410474e+06  9.6399332e+06  2.4739773e+07  6.4907461e+07  1.7404069e+08  4.7685816e+08  1.3351442e+09  3.8214602e+09  1.1190524e+10  3.3573830e+10  1.0341878e+11
  3.2000000e+03  1.3248909e+02  2.2846092e+02  4.0927763e+02  7.5776155e+02  1.4431825e+03  2.8165241e+03  5.6163789e+03  1.1421267e+04  2.3661168e+04  4.9923738e+04  1.0732256e+05  2.3527077e+05  5.2658290e+05  1.2050235e+06  2.8234189e+06  6.7824230e+06  1.6723456e+07  4.2365955e+07  1.1036109e+08  2.9584941e+08  8.1692954e+08  2.3264092e+09  6.8436478e+09  2.0841061e+10  6.5876011e+10
  3.5000000e+03  1.2632830e+02  2.2128709e+02  4.0080519e+02  7.4632999e+02  1.4217387e+03  2.7600547e+03  5.4449876e+03  1.0895776e+04  2.2094958e+04  4.5399150e+04  9.4577824e+04  2.0002199e+05  4.3026229e+05  9.4361919e+05  2.1158057e+06  4.8649250e+06  1.1505973e+07  2.8072868e+07  7.0847205e+07  1.8537487e+08  5.0392646e+08  1.4258787e+09  4.2069279e+09  1.2964638e+10  4.1799883e+10
