#Table Version   6
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  6.7109533e-01  1.7988898e+00  4.8219745e+00  1.2925438e+01  3.4646998e+01  9.2872247e+01  2.4894666e+02  6.6730849e+02  1.7887391e+03  4.7947652e+03  1.2852502e+04  3.4451492e+04  9.2348189e+04  2.4754191e+05  6.6354301e+05  1.7786456e+06  4.7677094e+06  1.2779978e+07  3.4257090e+07  9.1827088e+07  2.4614508e+08  6.5979878e+08  1.7686091e+09  4.7408062e+09  1.2707864e+10
  2.1000000e+03  1.4600656e+00  3.5382792e+00  8.6432923e+00  2.1270441e+01  5.2704044e+01  1.3141895e+02  3.2961777e+02  8.3120521e+02  2.1065456e+03  5.3632850e+03  1.3712997e+04  3.5198989e+04  9.0675353e+04  2.3436024e+05  6.0757163e+05  1.5795068e+06  4.1167598e+06  1.0754904e+07  2.8157143e+07  7.3862218e+07  1.9410414e+08  5.1092692e+08  1.3468916e+09  3.5554934e+09  9.3974225e+09
  2.2000000e+03  2.6411637e+00  6.0178450e+00  1.3847284e+01  3.2161254e+01  7.5356508e+01  1.7803784e+02  4.2393890e+02  1.0169538e+03  2.4565515e+03  5.9732234e+03  1.4614780e+04  3.5969031e+04  8.9018288e+04  2.2146876e+05  5.5373720e+05  1.3910213e+06  3.5098499e+06  8.8932009e+06  2.2622290e+07  5.7759281e+07  1.4798415e+08  3.8038367e+08  9.8073242e+08  2.5357922e+09  6.5739672e+09
  2.3000000e+03  4.7824016e+00  1.0271356e+01  2.2300893e+01  4.8932969e+01  1.0847374e+02  2.4285007e+02  5.4888276e+02  1.2519284e+03  2.8804864e+03  6.6829311e+03  1.5628408e+04  3.6825323e+04  8.7399157e+04  2.0885728e+05  5.0238299e+05  1.2159966e+06  2.9608650e+06  7.2506464e+06  1.7852347e+07  4.4184250e+07  1.0989803e+08  2.7463893e+08  6.8942319e+08  1.7380606e+09  4.3995121e+09
  2.4000000e+03  8.6663523e+00  1.7678100e+01  3.6420992e+01  7.5785925e+01  1.5927533e+02  3.3808569e+02  7.2477974e+02  1.5691072e+03  3.4301594e+03  7.5704142e+03  1.6864711e+04  3.7912822e+04  8.5984876e+04  1.9667896e+05  4.5358500e+05  1.0543551e+06  2.4694794e+06  5.8261225e+06  1.3841375e+07  3.3103900e+07  7.9681887e+07  1.9297724e+08  4.7012007e+08  1.1517596e+09  2.8370205e+09
  2.5000000e+03  1.4750079e+01  2.8992734e+01  5.7448990e+01  1.1475562e+02  2.3109486e+02  4.6922472e+02  9.6075709e+02  1.9841251e+03  4.1336534e+03  8.6894917e+03  1.8434332e+04  3.9472554e+04  8.5317600e+04  1.8615420e+05  4.1000115e+05  9.1145337e+05  2.0448138e+06  4.6286356e+06  1.0568755e+07  2.4335751e+07  5.6491885e+07  1.3216428e+08  3.1152642e+08  7.3959937e+08  1.7680352e+09
  2.8000000e+03  2.2189723e+01  4.2686918e+01  8.2653557e+01  1.6104257e+02  3.1568438e+02  6.2252389e+02  1.2349415e+03  2.4646940e+03  4.9497931e+03  1.0005533e+04  2.0364807e+04  4.1753583e+04  8.6275147e+04  1.7974947e+05  3.7778409e+05  8.0130396e+05  1.7158488e+06  3.7101986e+06  8.1023742e+06  1.7870469e+07  3.9804604e+07  8.9521853e+07  2.0324293e+08  4.6565150e+08  1.0762645e+09
  3.0000000e+03  2.8534557e+01  5.4507302e+01  1.0471050e+02  2.0216901e+02  3.9209116e+02  7.6348302e+02  1.4920585e+03  2.9257191e+03  5.7555402e+03  1.1359500e+04  2.2497567e+04  4.4727072e+04  8.9307594e+04  1.7921575e+05  3.6171952e+05  7.3493579e+05  1.5045211e+06  3.1060050e+06  6.4716587e+06  1.3618933e+07  2.8961573e+07  6.2260544e+07  1.3533025e+08  2.9742054e+08  6.6081071e+08
  3.2000000e+03  3.1229349e+01  6.0011895e+01  1.1592218e+02  2.2486020e+02  4.3757692e+02  8.5349961e+02  1.6673147e+03  3.2599806e+03  6.3765209e+03  1.2473583e+04  2.4400042e+04  4.7733807e+04  9.3419107e+04  1.8300035e+05  3.5908655e+05  7.0646007e+05  1.3950906e+06  2.7687696e+06  5.5299317e+06  1.1129819e+07  2.2602423e+07  4.6369054e+07  9.6190358e+07  2.0192194e+08  4.2912785e+08
  3.5000000e+03  2.9927403e+01  5.8373678e+01  1.1439273e+02  2.2490408e+02  4.4302621e+02  8.7329409e+02  1.7207648e+03  3.3862508e+03  6.6503358e+03  1.3027876e+04  2.5449549e+04  4.9571073e+04  9.6289846e+04  1.8659389e+05  3.6094413e+05  6.9754069e+05  1.3481745e+06  2.6092946e+06  5.0645054e+06  9.8739370e+06  1.9369876e+07  3.8300061e+07  7.6459731e+07  1.5434177e+08  3.1543134e+08
